Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	14684	219625	0.06	0.94
CY010795.1	248	2074	+	53900	126090	0.3	0.7
CY010794.1	44	1905	-	3701	31366	0.11	0.89
CY010794.1	89	2105	+	195799	697655	0.22	0.78
CY010794.1	177	2012	+	31379	513608	0.06	0.94
CY010794.1	223	1928	+	33506	477900	0.07	0.93
CY010794.1	224	2030	+	117181	342520	0.25	0.75
CY010794.1	224	2030	-	10767	134046	0.07	0.93
CY010794.1	244	1983	+	16590	312537	0.05	0.95
CY010794.1	378	1885	+	68599	178873	0.28	0.72
CY010794.1	378	1885	-	41413	204404	0.17	0.83
CY010793.1	106	1999	+	10100	155268	0.06	0.94
CY010793.1	130	1998	+	7273	118314	0.06	0.94
CY010793.1	195	1946	+	6196	116742	0.05	0.95
CY010793.1	216	1962	+	6874	102854	0.06	0.94
CY010793.1	284	1920	+	7168	90036	0.07	0.93
CY010793.1	358	1793	+	13347	77734	0.15	0.85
CY010793.1	358	1793	-	6514	49124	0.12	0.88
CY010793.1	1855	2015	+	8753	87474	0.09	0.91
CY010792.1	43	516	+	428523	2460160	0.15	0.85
CY010789.1	40	729	+	812136	1574613	0.34	0.66
CY010789.1	134	729	+	159316	2256689	0.07	0.93
