Segment	Junction_First_Position	Junction_Second_Position	Strand	Support_Junction	Support_No_Junction	Percentage_spliced	Percentage_No_spliced
CY010795.1	167	2195	+	68112	692935	0.09	0.91
CY010795.1	167	2195	-	464	7438	0.06	0.94
CY010795.1	248	2074	+	139496	395859	0.26	0.74
CY010795.1	248	2074	-	471	7016	0.06	0.94
CY010794.1	89	2105	+	497720	1780496	0.22	0.78
CY010794.1	89	2105	-	455	5829	0.07	0.93
CY010794.1	177	2012	+	91982	1216873	0.07	0.93
CY010794.1	223	1928	+	67115	1102277	0.06	0.94
CY010794.1	224	2030	+	268120	789175	0.25	0.75
CY010794.1	224	2030	-	659	5224	0.11	0.89
CY010794.1	244	1983	+	40671	695017	0.06	0.94
CY010794.1	378	1885	+	118839	372377	0.24	0.76
CY010794.1	378	1885	-	9250	35339	0.21	0.79
CY010793.1	106	1999	+	70912	694881	0.09	0.91
CY010793.1	130	1998	+	38761	510262	0.07	0.93
CY010793.1	216	1962	+	26329	441177	0.06	0.94
CY010793.1	284	1920	+	41849	344498	0.11	0.89
CY010793.1	358	1793	+	39591	256556	0.13	0.87
CY010793.1	358	1793	-	1391	15138	0.08	0.92
CY010793.1	1855	2015	+	36823	322719	0.1	0.9
CY010792.1	43	516	+	212308	2573723	0.08	0.92
CY010789.1	40	729	+	1225999	1298634	0.49	0.51
CY010789.1	134	729	+	362738	1746206	0.17	0.83
